,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
75,Josh Hart,Knicks,fg3m,0.5,150,under,0.28938421793905067,-1.3826972757618665,0.4
76,T.J. McConnell,Pacers,rebounds,2.5,-125,over,0.4407062483387585,-1.0336437649511736,0.5555555555555556
77,T.J. McConnell,Pacers,rebounds,2.5,-115,under,0.5592937516612415,0.2281807220507357,0.5348837209302326
78,Andrew Nembhard,Pacers,rebounds,2.5,-120,over,0.4915652266646606,-0.49398542224060993,0.5454545454545454
79,Andrew Nembhard,Pacers,rebounds,2.5,-115,under,0.5084347733353394,-0.2472401623000886,0.5348837209302326
80,Pascal Siakam,Pacers,rebounds,7.5,-120,over,0.5581491775895339,0.11636746123739439,0.5454545454545454
81,Pascal Siakam,Pacers,rebounds,7.5,-115,under,0.44185082241046614,-0.8696553557282511,0.5348837209302326
82,Tyrese Haliburton,Pacers,rebounds,4.5,-110,over,0.4564712858513804,-0.6427740896004588,0.5238095238095238
83,Tyrese Haliburton,Pacers,rebounds,4.5,-125,under,0.5435287141486196,-0.10824157266242374,0.5555555555555556
84,Obi Toppin,Pacers,rebounds,3.5,-150,over,0.5971478702870898,-0.023767747607585932,0.6000000000000001
85,Obi Toppin,Pacers,rebounds,3.5,105,under,0.40285212971291023,-0.8707656704426698,0.48780487804878053
86,Aaron Nesmith,Pacers,rebounds,4.5,-160,over,0.4564712858513804,-1.2911708024575344,0.6153846153846154
87,Aaron Nesmith,Pacers,rebounds,4.5,115,under,0.5435287141486196,0.8429336770976601,0.46511627906976744
88,Myles Turner,Pacers,rebounds,7.5,110,over,0.33016912164061907,-1.5332242227734998,0.47619047619047616
89,Myles Turner,Pacers,rebounds,7.5,-160,under,0.6698308783593809,0.44237588666996963,0.6153846153846154
90,Ben Sheppard,Pacers,rebounds,2.5,135,over,0.4198066125033615,-0.06727230308550247,0.425531914893617
91,Ben Sheppard,Pacers,rebounds,2.5,-195,under,0.5801933874966385,-0.6113577099613243,0.6610169491525424
92,Josh Hart,Knicks,rebounds,11.5,-110,over,0.41118392164526396,-1.075062566113389,0.5238095238095238
93,Josh Hart,Knicks,rebounds,11.5,-130,under,0.588816078354736,0.20875761621497269,0.5652173913043479
94,Isaiah Hartenstein,Knicks,rebounds,11.5,-115,over,0.10072142787335825,-4.058473609009912,0.5348837209302326
95,Isaiah Hartenstein,Knicks,rebounds,11.5,-125,under,0.8992785721266418,3.093507149139775,0.5555555555555556
96,Miles McBride,Knicks,rebounds,2.5,-120,over,0.45104640759803694,-0.8654079303513278,0.5454545454545454
97,Miles McBride,Knicks,rebounds,2.5,-115,under,0.5489535924019631,0.13152271158356754,0.5348837209302326
98,Jalen Brunson,Knicks,rebounds,3.5,-165,over,0.4762572567751788,-1.1755099077144733,0.6226415094339623
99,Jalen Brunson,Knicks,rebounds,3.5,115,under,0.5237427432248212,0.6302344896668277,0.46511627906976744
100,Donte DiVincenzo,Knicks,rebounds,4.5,-165,over,0.4411332142972987,-1.4575666124610867,0.6226415094339623
101,Donte DiVincenzo,Knicks,rebounds,4.5,115,under,0.5588667857027013,1.0078179463040389,0.46511627906976744
102,Pascal Siakam,Pacers,fgm,8.5,-125,over,0.5496057889641603,-0.05354789932255688,0.5555555555555556
103,Pascal Siakam,Pacers,fgm,8.5,-105,under,0.45039421103583965,-0.6032946065548987,0.5121951219512195
104,Myles Turner,Pacers,fgm,5.5,-140,over,0.560723679391425,-0.193797033787785,0.5833333333333333
105,Myles Turner,Pacers,fgm,5.5,105,under,0.439276320608575,-0.49741771376210586,0.48780487804878053
106,Tyrese Haliburton,Pacers,fgm,6.5,-130,over,0.5200837795439648,-0.3992588732649267,0.5652173913043479
107,Tyrese Haliburton,Pacers,fgm,6.5,100,under,0.4799162204560352,-0.2008377954396483,0.5
108,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5
109,T.J. McConnell,Pacers,fgm,4.5,-130,under,0.3127183498566814,-2.2336453666524334,0.5652173913043479
110,Andrew Nembhard,Pacers,fgm,3.5,-150,over,0.6677256775285372,0.5643806460711422,0.6000000000000001
111,Andrew Nembhard,Pacers,fgm,3.5,115,under,0.3322743224714629,-1.4280510334317742,0.46511627906976744
112,Aaron Nesmith,Pacers,fgm,3.5,115,over,0.5016645070629165,0.3928934509263531,0.46511627906976744
113,Aaron Nesmith,Pacers,fgm,3.5,-150,under,0.49833549293708346,-0.8472042255243055,0.6000000000000001
114,Obi Toppin,Pacers,fgm,3.5,125,over,0.6335357424203472,2.1272771022289056,0.4444444444444444
115,Obi Toppin,Pacers,fgm,3.5,-170,under,0.36646425757965284,-2.0898426603968745,0.6296296296296295
116,Ben Sheppard,Pacers,fgm,1.5,100,over,0.5830590740737066,0.8305907407370663,0.5
117,Ben Sheppard,Pacers,fgm,1.5,-130,under,0.4169409259262934,-1.3116764244981738,0.5652173913043479
118,Jalen Brunson,Knicks,fgm,12.5,-115,over,0.4560233327450679,-0.7371731939048001,0.5348837209302326
119,Jalen Brunson,Knicks,fgm,12.5,-115,under,0.5439766672549321,0.08499928086132158,0.5348837209302326
120,Josh Hart,Knicks,fgm,4.5,-105,over,0.5453588687741052,0.3237413380329315,0.5121951219512195
121,Josh Hart,Knicks,fgm,4.5,-125,under,0.4546411312258948,-0.9082298189669471,0.5555555555555556
122,Isaiah Hartenstein,Knicks,fgm,3.5,100,over,0.6192392331698962,1.1923923316989615,0.5
123,Isaiah Hartenstein,Knicks,fgm,3.5,-135,under,0.3807607668301039,-1.685971103515762,0.574468085106383
124,Donte DiVincenzo,Knicks,fgm,6.5,110,over,0.5200837795439648,0.4608796852116299,0.47619047619047616
125,Donte DiVincenzo,Knicks,fgm,6.5,-145,under,0.4799162204560352,-0.9455353789059089,0.5918367346938775
126,Miles McBride,Knicks,fgm,4.5,-160,over,0.4942471987871635,-0.9842415098542965,0.6153846153846154
