,PROPS,THRESH
1005,Jayson Tatum-rebounds-under,10.5
1004,Payton Pritchard-points-over,9.5
1006,Al Horford-rebounds-under,7.5
1007,Derrick White-rebounds-over,3.5
496,Luke Kornet-points-over,3.5
495,Obi Toppin-points-over,7.5
498,Myles Turner-fg3m-over,1.5
497,Payton Pritchard-fgm-over,3.5
1436,T.J. McConnell-assists-over,4.5
1437,Al Horford-assists-under,2.5
1435,Jayson Tatum-steals-under,1.5
1434,Payton Pritchard-assists-over,2.5
1532,Jrue Holiday-steals-under,1.5
1531,T.J. McConnell-points-over,9.5
1530,Payton Pritchard-points-over,9.5
1529,Obi Toppin-points-over,7.5
558,Myles Turner-fg3m-over,1.5
555,Jrue Holiday-points-under,12.5
556,Derrick White-rebounds-over,3.5
557,Jrue Holiday-rebounds-under,5.5
747,Andrew Nembhard-points-over,10.5
748,Payton Pritchard-steals-under,0.5
746,Myles Turner-fg3m-over,1.5
745,Jayson Tatum-rebounds-under,10.5
1494,Jayson Tatum-rebounds-under,10.5
1493,Andrew Nembhard-blocks-under,0.5
1496,Payton Pritchard-fg3m-over,1.5
1495,Obi Toppin-fgm-over,3.5
1511,Luke Kornet-assists-over,0.5
1510,Jayson Tatum-steals-under,1.5
1509,Obi Toppin-points-over,7.5
1512,Payton Pritchard-fg3m-over,1.5
607,Myles Turner-steals-under,0.5
605,Payton Pritchard-fgm-over,3.5
606,Jayson Tatum-steals-under,1.5
608,Luke Kornet-fgm-over,1.5
453,Payton Pritchard-points-over,9.5
456,Myles Turner-steals-under,0.5
455,Pascal Siakam-blocks-under,0.5
454,Derrick White-rebounds-over,3.5
739,T.J. McConnell-fgm-over,4.5
740,Obi Toppin-fgm-over,3.5
741,Luke Kornet-fgm-over,1.5
954,Payton Pritchard-points-over,9.5
953,Obi Toppin-points-over,7.5
956,Derrick White-rebounds-over,3.5
955,Luke Kornet-points-over,3.5
1834,T.J. McConnell-assists-over,4.5
1833,T.J. McConnell-fgm-over,4.5
1835,Obi Toppin-fgm-over,3.5
787,Al Horford-assists-under,2.5
786,Jayson Tatum-fgm-under,9.5
785,T.J. McConnell-fgm-over,4.5
1618,Pascal Siakam-blocks-under,0.5
1617,Jrue Holiday-steals-under,1.5
1620,Al Horford-assists-under,2.5
1619,Myles Turner-fg3m-over,1.5
331,Pascal Siakam-assists-over,2.5
330,Andrew Nembhard-points-over,10.5
329,Payton Pritchard-assists-over,2.5
332,Payton Pritchard-steals-under,0.5
663,Jrue Holiday-steals-under,1.5
664,Al Horford-rebounds-under,7.5
665,Jrue Holiday-rebounds-under,5.5
666,Myles Turner-points-over,15.5
323,T.J. McConnell-fgm-over,4.5
324,Jrue Holiday-rebounds-under,5.5
325,Obi Toppin-fgm-over,3.5
860,Payton Pritchard-points-over,9.5
861,Jrue Holiday-points-under,12.5
1856,Luke Kornet-assists-over,0.5
1855,Jrue Holiday-points-under,12.5
862,Obi Toppin-fgm-over,3.5
1857,Obi Toppin-fgm-over,3.5
477,Luke Kornet-fgm-over,1.5
476,Myles Turner-fg3m-over,1.5
475,Jrue Holiday-steals-under,1.5
474,Obi Toppin-points-over,7.5
757,Obi Toppin-fgm-over,3.5
756,Jayson Tatum-fgm-under,9.5
1000,Obi Toppin-fgm-over,3.5
998,T.J. McConnell-points-over,9.5
999,Jayson Tatum-fgm-under,9.5
755,Jrue Holiday-rebounds-under,5.5
421,Pascal Siakam-blocks-under,0.5
422,Pascal Siakam-assists-over,2.5
420,Payton Pritchard-fgm-over,3.5
419,Payton Pritchard-assists-over,2.5
997,Luke Kornet-fgm-over,1.5
996,Myles Turner-steals-under,0.5
995,Derrick White-rebounds-over,3.5
994,Jrue Holiday-steals-under,1.5
431,Jrue Holiday-steals-under,1.5
432,Jrue Holiday-rebounds-under,5.5
429,Obi Toppin-points-over,7.5
430,Payton Pritchard-assists-over,2.5
1593,T.J. McConnell-fgm-over,4.5
1592,Luke Kornet-points-over,3.5
1594,Derrick White-rebounds-over,3.5
1595,Pascal Siakam-blocks-under,0.5
1695,Payton Pritchard-points-over,9.5
1697,Jaylen Brown-rebounds-under,6.5
