,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
466,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,89,0.08532161517898366,0.04071809331459174,1.0954226544887797,23.55910674092492
464,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,89,0.08532161517898366,0.04071809331459174,1.0954226544887797,23.55910674092492
467,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,89,0.08532161517898366,0.04071809331459174,1.0954226544887797,23.55910674092492
465,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,89,0.08532161517898366,0.04071809331459174,1.0954226544887797,23.55910674092492
463,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,89,0.08532161517898366,0.04071809331459174,1.0954226544887797,23.55910674092492
462,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,89,0.08532161517898366,0.04071809331459174,1.0954226544887797,23.55910674092492
1119,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,205,0.09284368881470693,0.044384465437097016,1.0918059483286506,21.530405405405407
1117,Derrick Jones Jr.,Mavericks,blocks,0.5,-160,over,0.6737202053769606,0.4739766686878051,0.6153846153846154,205,0.09284368881470693,0.044384465437097016,1.0918059483286506,21.530405405405407
1116,Derrick Jones Jr.,Mavericks,fg3m,1.5,-250,under,0.7357588823428847,0.15031217640019245,0.7142857142857143,205,0.09284368881470693,0.044384465437097016,1.0918059483286506,21.530405405405407
1120,Mike Conley,Timberwolves,fgm,3.5,-140,over,0.6610671458715092,0.6662898217557931,0.5833333333333333,205,0.09284368881470693,0.044384465437097016,1.0918059483286506,21.530405405405407
1121,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,205,0.09284368881470693,0.044384465437097016,1.0918059483286506,21.530405405405407
1118,Karl-Anthony Towns,Timberwolves,fgm,7.5,-150,under,0.6698308783593809,0.581923986328174,0.6000000000000001,205,0.09284368881470693,0.044384465437097016,1.0918059483286506,21.530405405405407
407,Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.6474799815848631,0.3956665132071919,0.6000000000000001,79,0.08342890239932453,0.039976689976689975,1.0869387247411217,24.014577259475224
406,Luka Doncic,Mavericks,rebounds,8.5,-120,over,0.6488794710104522,0.9480618175958122,0.5454545454545454,79,0.08342890239932453,0.039976689976689975,1.0869387247411217,24.014577259475224
405,Mike Conley,Timberwolves,fgm,3.5,-140,over,0.6610671458715092,0.6662898217557931,0.5833333333333333,79,0.08342890239932453,0.039976689976689975,1.0869387247411217,24.014577259475224
404,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,79,0.08342890239932453,0.039976689976689975,1.0869387247411217,24.014577259475224
403,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,79,0.08342890239932453,0.039976689976689975,1.0869387247411217,24.014577259475224
