,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO_WIN
154,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,49,0.38527131849189955,1.1998488363829987,5.7098692033293705
130,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,42,0.4455569040859333,1.530370578855842,5.679118773946361
131,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,42,0.4455569040859333,1.530370578855842,5.679118773946361
129,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,42,0.4455569040859333,1.530370578855842,5.679118773946361
96,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,31,0.46700087465960977,1.6054072261892927,5.579020013802622
95,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,31,0.46700087465960977,1.6054072261892927,5.579020013802622
94,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,31,0.46700087465960977,1.6054072261892927,5.579020013802622
0,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,0,0.5221125052598418,1.8564250287760657,5.470899470899472
1,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,0,0.5221125052598418,1.8564250287760657,5.470899470899472
2,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,0,0.5221125052598418,1.8564250287760657,5.470899470899472
81,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,26,0.5190261050477117,1.7987416601050836,5.392294593444019
79,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,26,0.5190261050477117,1.7987416601050836,5.392294593444019
167,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,53,0.5366814049043327,1.8939442380675735,5.392294593444019
168,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,53,0.5366814049043327,1.8939442380675735,5.392294593444019
169,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,53,0.5366814049043327,1.8939442380675735,5.392294593444019
80,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,26,0.5190261050477117,1.7987416601050836,5.392294593444019
105,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,34,0.5034068968743141,1.7145182883177945,5.392294593444019
104,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,34,0.5034068968743141,1.7145182883177945,5.392294593444019
103,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,34,0.5034068968743141,1.7145182883177945,5.392294593444019
200,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,63,0.48111904046317266,1.591368910486426,5.386128364389234
201,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,63,0.48111904046317266,1.591368910486426,5.386128364389234
202,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,63,0.48111904046317266,1.591368910486426,5.386128364389234
170,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,54,0.40471256739993894,1.1601478362235382,5.337486429199194
172,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,54,0.40471256739993894,1.1601478362235382,5.337486429199194
171,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,54,0.40471256739993894,1.1601478362235382,5.337486429199194
97,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,32,0.44222867681370265,1.3357395588850727,5.2817460317460325
98,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,32,0.44222867681370265,1.3357395588850727,5.2817460317460325
99,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,32,0.44222867681370265,1.3357395588850727,5.2817460317460325
