,parlay_tag,props,COMBINED_PROB,COMBINED_EV,TO WIN
91,2024-05-21_91_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Payton Pritchard_fgm_3.5_-120_over_P0.746_EV1.839_HOUSE_PROV0.545,0.5221125052598418,1.8564250287760657,5.470899470899472
170,2024-05-21_170_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535,0.478624488226126,1.8556900155005387,5.966451959205582
1501,2024-05-21_1501_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488,0.4055679947497982,1.8497029428198681,7.026449275362318
1221,2024-05-21_1221_,Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + T.J. McConnell_fgm_4.5_100_over_P0.687_EV1.873_HOUSE_PROV0.500 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.3664331662272486,1.8480701954352354,7.772413793103448
1424,2024-05-21_1424_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jayson Tatum_rebounds_10.5_-145_under_P0.783_EV1.614_HOUSE_PROV0.592 + T.J. McConnell_fgm_4.5_100_over_P0.687_EV1.873_HOUSE_PROV0.500,0.4502697383832739,1.8447326499956764,6.31784107946027
181,2024-05-21_181_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488,0.43425422895594934,1.8410144725861906,6.542283950617283
68,2024-05-21_68_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Al Horford_rebounds_7.5_-145_under_P0.716_EV1.049_HOUSE_PROV0.592,0.5164266923796321,1.839758949395446,5.498861680270975
1544,2024-05-21_1544_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488,0.39573788294903867,1.8355853656411782,7.165311909262758
92,2024-05-21_92_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545,0.517823343013436,1.8329594533116027,5.470899470899472
74,2024-05-21_74_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Myles Turner_steals_0.5_-125_under_P0.670_EV1.033_HOUSE_PROV0.556,0.4834683017915707,1.8321432983210562,5.857971014492754
2922,2024-05-21_2922_,Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + T.J. McConnell_fgm_4.5_100_over_P0.687_EV1.873_HOUSE_PROV0.500 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.3349108300169701,1.8244146664764478,8.433333333333334
33,2024-05-21_33_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + Jayson Tatum_rebounds_10.5_-145_under_P0.783_EV1.614_HOUSE_PROV0.592,0.5678776616975708,1.822182168035662,4.969700973268155
