,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO WIN
82,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,23,0.4255583999203042,3.7617202619606935,20.58876117496807
83,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,23,0.4255583999203042,3.7617202619606935,20.58876117496807
84,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,24,0.49009085182702816,5.82848957198849,22.094861660079054
85,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,24,0.49009085182702816,5.82848957198849,22.094861660079054
86,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,24,0.49009085182702816,5.82848957198849,22.094861660079054
87,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,25,0.4646939791957867,9.888800949689832,32.040012602394455
88,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,25,0.4646939791957867,9.888800949689832,32.040012602394455
89,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,25,0.4646939791957867,9.888800949689832,32.040012602394455
90,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,26,0.5547650834876862,11.549896096369768,29.832259796027913
91,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,26,0.5547650834876862,11.549896096369768,29.832259796027913
92,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,26,0.5547650834876862,11.549896096369768,29.832259796027913
93,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,27,0.3552813352701001,6.223055073674676,31.58920539730135
94,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,27,0.3552813352701001,6.223055073674676,31.58920539730135
95,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,27,0.3552813352701001,6.223055073674676,31.58920539730135
96,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,28,0.41852442807980533,6.271131466352106,26.930641821946168
97,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,28,0.41852442807980533,6.271131466352106,26.930641821946168
98,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,28,0.41852442807980533,6.271131466352106,26.930641821946168
99,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,29,0.3824797555962181,6.075378929852008,28.956771614192903
100,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,29,0.3824797555962181,6.075378929852008,28.956771614192903
101,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,29,0.3824797555962181,6.075378929852008,28.956771614192903
102,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,30,0.36980990954377624,5.877039868190506,29.4125159642401
