,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
76,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,23,0.45563271935453625,0.15667311411992263,1.9081742704480895,6.382716049382716
40,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,12,0.4279514114325196,0.16141001855287568,1.6513311581853802,6.195402298850575
41,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,12,0.4279514114325196,0.16141001855287568,1.6513311581853802,6.195402298850575
42,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,12,0.4279514114325196,0.16141001855287568,1.6513311581853802,6.195402298850575
171,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,54,0.37017133870990176,0.16760379650038237,1.208609509087447,5.966451959205583
172,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,54,0.37017133870990176,0.16760379650038237,1.208609509087447,5.966451959205583
173,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,54,0.37017133870990176,0.16760379650038237,1.208609509087447,5.966451959205583
132,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,41,0.46422109801937994,0.16760379650038237,1.769752879782296,5.966451959205582
133,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,41,0.46422109801937994,0.16760379650038237,1.769752879782296,5.966451959205582
131,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,41,0.46422109801937994,0.16760379650038237,1.769752879782296,5.966451959205582
175,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,55,0.4373428409224359,0.17019027484143762,1.569728742314437,5.875776397515528
174,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,55,0.4373428409224359,0.17019027484143762,1.569728742314437,5.875776397515528
101,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,31,0.5226443578119065,0.17019027484143762,2.070941381925861,5.875776397515528
100,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,31,0.5226443578119065,0.17019027484143762,2.070941381925861,5.875776397515528
