,parlay_tag,props,COMBINED_PROB,COMBINED_EV
61,2024-05-19_61_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Karl-Anthony Towns_assists_3.5_-180_under_P0.674_EV0.243_HOUSE_PROV0.643,0.3666465893875771,4.24973090890882
62,2024-05-19_62_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Jamal Murray_steals_1.5_-150_under_P0.663_EV0.522_HOUSE_PROV0.600,0.360409195856743,4.7418297598029895
63,2024-05-19_63_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Jamal Murray_points_19.5_-120_over_P0.648_EV0.941_HOUSE_PROV0.545,0.3525144398933249,5.481278698964992
64,2024-05-19_64_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Anthony Edwards_blocks_0.5_-125_under_P0.644_EV0.796_HOUSE_PROV0.556,0.3502974605222064,5.225991251398256
65,2024-05-19_65_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Anthony Edwards_points_27.5_-105_under_P0.615_EV1.003_HOUSE_PROV0.512,0.33447875215774664,5.590806154250018
66,2024-05-19_66_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Jamal Murray_assists_5.5_-135_over_P0.610_EV0.312_HOUSE_PROV0.574,0.3319389266849732,4.371048853777342
67,2024-05-19_67_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Jamal Murray_fgm_7.5_-120_over_P0.596_EV0.464_HOUSE_PROV0.545,0.3242050380718872,4.639557916175878
68,2024-05-19_68_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Anthony Edwards_steals_1.5_-125_under_P0.592_EV0.326_HOUSE_PROV0.556,0.3219033734618412,4.397102325289904
69,2024-05-19_69_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Nikola Jokic_fgm_11.5_-135_under_P0.574_EV0.000_HOUSE_PROV0.574,0.3124714638040522,3.8214581578679603
70,2024-05-19_70_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Nikola Jokic_blocks_0.5_130_under_P0.571_EV1.569_HOUSE_PROV0.435,0.3106859766672666,6.5889852450437445
71,2024-05-19_71_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Anthony Edwards_fg3m_2.5_100_under_P0.570_EV0.697_HOUSE_PROV0.500,0.3098699400505674,5.0509095939478925
