,parlay_tag,props,COMBINED_PROB,COMBINED_EV,HETERO
43,2024-05-19_43_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Aaron Nesmith_steals_0.5_-110_under_P0.619_EV0.907_HOUSE_PROV0.524,0.3826134689646914,2.013921494605836,8
44,2024-05-19_44_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Aaron Nesmith_points_9.5_-110_over_P0.610_EV0.822_HOUSE_PROV0.524,0.3771206138130416,1.9132286075541574,8
45,2024-05-19_45_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Aaron Nesmith_assists_1.5_-145_over_P0.605_EV0.109_HOUSE_PROV0.592,0.37391312401158533,1.066564615869785,8
46,2024-05-19_46_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Miles McBride_points_13.5_-110_under_P0.599_EV0.722_HOUSE_PROV0.524,0.37063457062213495,1.7943289831506046,8
47,2024-05-19_47_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Donte DiVincenzo_steals_1.5_-135_under_P0.592_EV0.151_HOUSE_PROV0.574,0.36594900661878804,1.1168622886637918,8
48,2024-05-19_48_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Ben Sheppard_fgm_1.5_100_over_P0.583_EV0.831_HOUSE_PROV0.500,0.3605239860939459,1.923699278395099,8
49,2024-05-19_49_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Aaron Nesmith_fg3m_1.5_-125_under_P0.578_EV0.203_HOUSE_PROV0.556,0.35745993984140884,1.178370096577078,8
50,2024-05-19_50_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Andrew Nembhard_steals_0.5_105_under_P0.571_EV0.855_HOUSE_PROV0.488,0.3531967475490024,1.9525575675199924,8
51,2024-05-19_51_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Donte DiVincenzo_fg3m_3.5_115_over_P0.567_EV1.090_HOUSE_PROV0.465,0.3503034589954736,2.231975103750303,8
52,2024-05-19_52_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Pascal Siakam_steals_0.5_125_under_P0.527_EV0.932_HOUSE_PROV0.444,0.3260416911530781,2.0441677875544286,8
53,2024-05-19_53_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Tyrese Haliburton_assists_8.5_-105_over_P0.523_EV0.106_HOUSE_PROV0.512,0.3234413883200765,1.0636509190200494,8
54,2024-05-19_54_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Donte DiVincenzo_fgm_6.5_110_over_P0.520_EV0.461_HOUSE_PROV0.476,0.321584356785591,1.4846754672276274,8
55,2024-05-19_55_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Miles McBride_fgm_4.5_120_under_P0.506_EV0.563_HOUSE_PROV0.455,0.3127230566835859,1.6062745724407534,8
56,2024-05-19_56_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Aaron Nesmith_fgm_3.5_115_over_P0.502_EV0.393_HOUSE_PROV0.465,0.3101951342674992,1.4039432975054442,8
57,2024-05-19_57_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Myles Turner_fg3m_1.5_-145_over_P0.665_EV0.614_HOUSE_PROV0.592,0.409594959208523,1.815882680664294,8
58,2024-05-19_58_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Myles Turner_steals_0.5_-115_under_P0.644_EV1.020_HOUSE_PROV0.535,0.3969766356980352,2.309286540026406,8
59,2024-05-19_59_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Donte DiVincenzo_points_17.5_-110_over_P0.635_EV1.065_HOUSE_PROV0.524,0.39161184317983927,2.3629499440837547,8
60,2024-05-19_60_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Tyrese Haliburton_fg3m_3.5_-160_under_P0.620_EV0.040_HOUSE_PROV0.615,0.3823876594907193,1.1196509899556402,8
61,2024-05-19_61_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Aaron Nesmith_steals_0.5_-110_under_P0.619_EV0.907_HOUSE_PROV0.524,0.3814109591688914,2.1711564637126273,8
62,2024-05-19_62_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Myles Turner_points_15.5_-125_over_P0.610_EV0.492_HOUSE_PROV0.556,0.3761286935552188,1.6677359312061508,8
63,2024-05-19_63_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Aaron Nesmith_points_9.5_-110_over_P0.610_EV0.822_HOUSE_PROV0.524,0.37593536742447253,2.0682062883526857,8
64,2024-05-19_64_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Aaron Nesmith_assists_1.5_-145_over_P0.605_EV0.109_HOUSE_PROV0.592,0.3727379583917791,1.2025621602811727,8
65,2024-05-19_65_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Miles McBride_points_13.5_-110_under_P0.599_EV0.722_HOUSE_PROV0.524,0.3694697091157138,1.946641225109495,8
66,2024-05-19_66_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Donte DiVincenzo_steals_1.5_-135_under_P0.592_EV0.151_HOUSE_PROV0.574,0.36479887129706734,1.2539873839087576,8
67,2024-05-19_67_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Aaron Nesmith_fg3m_1.5_-125_under_P0.578_EV0.203_HOUSE_PROV0.556,0.35633648467285844,1.3168740464733997,8
68,2024-05-19_68_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Donte DiVincenzo_fg3m_3.5_115_over_P0.567_EV1.090_HOUSE_PROV0.465,0.34920249581693075,2.3940983015781923,8
69,2024-05-19_69_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Donte DiVincenzo_rebounds_4.5_115_under_P0.559_EV1.008_HOUSE_PROV0.465,0.34447905293696535,2.294082976960743,8
70,2024-05-19_70_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Pascal Siakam_rebounds_7.5_-120_over_P0.558_EV0.116_HOUSE_PROV0.545,0.34403672755723647,1.2117742475612143,8
71,2024-05-19_71_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Miles McBride_rebounds_2.5_-115_under_P0.549_EV0.132_HOUSE_PROV0.535,0.33836867470876986,1.230174214828799,8
72,2024-05-19_72_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600 + Aaron Nesmith_rebounds_4.5_115_under_P0.544_EV0.843_HOUSE_PROV0.465,0.33502484220553674,2.093897227003599,8
