,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
2360,Derrick Jones Jr.,Mavericks,blocks,0.5,-160,over,0.6737202053769606,0.4739766686878051,0.6153846153846154,451,0.09312271606328203,0.045197417698041906,1.060354790298483,21.125157828282823
2359,Anthony Edwards,Timberwolves,blocks,0.5,-150,under,0.697676326071031,0.813969383925258,0.6000000000000001,451,0.09312271606328203,0.045197417698041906,1.060354790298483,21.125157828282823
2358,Naz Reid,Timberwolves,rebounds,3.5,-165,over,0.7514164433525283,1.0341017420733332,0.6226415094339623,451,0.09312271606328203,0.045197417698041906,1.060354790298483,21.125157828282823
2363,Luka Doncic,Mavericks,steals,1.5,-130,under,0.6197539005607728,0.4824383511145287,0.5652173913043479,451,0.09312271606328203,0.045197417698041906,1.060354790298483,21.125157828282823
2362,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,451,0.09312271606328203,0.045197417698041906,1.060354790298483,21.125157828282823
1941,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,371,0.09476261882286514,0.04608316281323764,1.0563393013390145,20.69989946334032
1939,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,371,0.09476261882286514,0.04608316281323764,1.0563393013390145,20.69989946334032
1940,Mike Conley,Timberwolves,assists,6.5,-135,under,0.6639131865002601,0.7785036602800415,0.574468085106383,371,0.09476261882286514,0.04608316281323764,1.0563393013390145,20.69989946334032
1942,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,371,0.09476261882286514,0.04608316281323764,1.0563393013390145,20.69989946334032
1938,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,371,0.09476261882286514,0.04608316281323764,1.0563393013390145,20.69989946334032
1943,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,371,0.09476261882286514,0.04608316281323764,1.0563393013390145,20.69989946334032
1949,Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.6474799815848631,0.3956665132071919,0.6000000000000001,372,0.09451325070974045,0.04615384615384616,1.047787098711043,20.666666666666664
1948,Dereck Lively II,Mavericks,fgm,2.5,-160,over,0.6602601118038804,0.36461340840652845,0.6153846153846154,372,0.09451325070974045,0.04615384615384616,1.047787098711043,20.666666666666664
1947,Mike Conley,Timberwolves,fgm,3.5,-140,over,0.6610671458715092,0.6662898217557931,0.5833333333333333,372,0.09451325070974045,0.04615384615384616,1.047787098711043,20.666666666666664
1946,Karl-Anthony Towns,Timberwolves,fgm,7.5,-150,under,0.6698308783593809,0.581923986328174,0.6000000000000001,372,0.09451325070974045,0.04615384615384616,1.047787098711043,20.666666666666664
1945,Daniel Gafford,Mavericks,points,8.5,100,over,0.67166621931889,1.7166621931889006,0.5,372,0.09451325070974045,0.04615384615384616,1.047787098711043,20.666666666666664
1944,Naz Reid,Timberwolves,assists,0.5,-250,over,0.7433392230464442,0.203374561325109,0.7142857142857143,372,0.09451325070974045,0.04615384615384616,1.047787098711043,20.666666666666664
327,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,57,0.11733142222826513,0.05733397037744864,1.0464555560313242,16.441666666666666
324,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,57,0.11733142222826513,0.05733397037744864,1.0464555560313242,16.441666666666666
325,Naz Reid,Timberwolves,assists,0.5,-250,over,0.7433392230464442,0.203374561325109,0.7142857142857143,57,0.11733142222826513,0.05733397037744864,1.0464555560313242,16.441666666666666
326,Derrick Jones Jr.,Mavericks,blocks,0.5,-160,over,0.6737202053769606,0.4739766686878051,0.6153846153846154,57,0.11733142222826513,0.05733397037744864,1.0464555560313242,16.441666666666666
328,Dereck Lively II,Mavericks,fgm,2.5,-160,over,0.6602601118038804,0.36461340840652845,0.6153846153846154,57,0.11733142222826513,0.05733397037744864,1.0464555560313242,16.441666666666666
329,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,57,0.11733142222826513,0.05733397037744864,1.0464555560313242,16.441666666666666
428,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,77,0.08619107645209649,0.04215395102001074,1.0446737344070334,22.72256872256872
427,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,77,0.08619107645209649,0.04215395102001074,1.0446737344070334,22.72256872256872
426,Anthony Edwards,Timberwolves,blocks,0.5,-150,under,0.697676326071031,0.813969383925258,0.6000000000000001,77,0.08619107645209649,0.04215395102001074,1.0446737344070334,22.72256872256872
430,Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.6474799815848631,0.3956665132071919,0.6000000000000001,77,0.08619107645209649,0.04215395102001074,1.0446737344070334,22.72256872256872
429,Mike Conley,Timberwolves,assists,6.5,-135,under,0.6639131865002601,0.7785036602800415,0.574468085106383,77,0.08619107645209649,0.04215395102001074,1.0446737344070334,22.72256872256872
